HIDDEN,NAME,ALIVE,YEAR_OF_DEATH,HINT,DOB,F_D_N,CELEBRITY_TYPE,DOD,ID
,Rodney King,,2012,Police brutality victim,4/2/1965,,,,10320
,Beau Bridges,ALIVE,,Actor and brother of Jeff,12/9/1941,,,,10321
,Cher,ALIVE,,It's pronounced Share,5/20/1946,,,,10322
,Sonny Bono,,1998,Singer and congressman and ex-husband of Cher,2/16/1935,,,,10323
,Gene Hackman,ALIVE,,Actor in 'Hoosiers' and 'Unforgiven' and 'Royal Tannenbaums',1/30/1930,,,,10324
,Cal Ripken Sr,,1999,Baseball player and father of two baseball players,12/17/1935,,,,10325
,Brian Bosworth,ALIVE,,NFL player and actor,3/9/1965,,,,10326
,Michael Moore,ALIVE,,Documentary Filmmaker and Activist,4/23/1954,,,,10327
,Ted Kaczynski,,2023,The Unabomber,5/22/1942,PIR,,6/10/2023,10328
,Alan Alda,ALIVE,,MASH actor,1/28/1936,,,,10329
,Alan Rickman,,2016,Die Hard bad guy and Snape in 'Harry Potter',2/21/1946,DONE,,1/14/2016,10330
,Nelson Mandela,,2013,Freedom Fighter and Politician,1/18/1918,DONE,,12/5/2013,10331
,Desmond Tutu,,2021,Bishop and human rights activist for South Africa,10/7/1931,,,,10332
,Carl Weathers,,2024,Apollo Creed in 'Rocky' and stew chef,1/14/1948,Fun,,2/1/2024,10333
,Diana Ross,ALIVE,,Singer and former lead of The Supremes,3/26/1944,,,,10334
,Mary Higgins Clark,,2020,Author of suspense novels,12/24/1927,Fun,,,10335
,Tom Clancy,,2013,Author of spy novels including 'Hunt for Red October',4/12/1947,Fun,,,10336
,Dean Koontz,ALIVE,,Author of suspense novels,7/9/1945,,,,10337
,Danielle Steel,ALIVE,,Author of romance novels,8/14/1947,,,,10338
yes,Herman Wouk,,2019,Author of The Caine Mutiny,5/27/1915,Fun,,,10339
,John Denver,,1997,Rocky Mountain High singer,12/31/1943,,,,10340
,Roseanne Barr,ALIVE,,Actress and comedian,11/3/1952,,,,10341
,Matt Groening,ALIVE,,The Simpsons co-creater,2/15/1954,,,,10342
,James L Brooks,ALIVE,,Director and The Simpsons producer,5/9/1940,,,,10343
yes,Sam Simon,,2015,The Simpsons co-creater,6/6/1955,Fun,,,10344
,Carl Kasell,,2018,NPR Personality on Wait Wait Dont Tell Me,4/2/1934,Fun,,,10345
,Etta James,,2012,Jazz singer ,1/25/1938,,,,10346
,John C Mellencamp,ALIVE,,Small town and pink house resident,10/7/1951,,,,10347
,Curly Neal,,2020,Harlem Globetrotter,5/1/1942,DONE,,3/26/2020,10348
,Billy Connolly,ALIVE,,Scottish Comedian,11/24/1942,,,,10349
,Bob Saget,,2022,Full House' actor and 'America's Funniest Home Videos' host,5/17/1956,DONE,,1/9/2022,10350
,Eddie Van Halen,,2020,Guitarist in a band bearing his last name,1/26/1955,Fun,,,10351
,Cicely Tyson,,2021,Actress in 'Fried Green Tomatoes' and 'The Help',12/19/1924,Fun,,1/28/2021,10352
,Maya Angelou,,2014,Author and poet and actiivst,4/4/1928,DONE,,5/28/2014,10353
,Meat Loaf,,2022,Singer and actor and Bat Out of Hell,9/27/1947,Fun,,1/20/2022,10354
,Chuck Woolery,ALIVE,,TV game show host,3/16/1941,,,,10355
,Louie Anderson,,2022,Comedian and host of Family Feud,3/24/1953,DONE,,1/21/2022,10356
,Doris Day,,2019,Movie star,4/3/1922,Fun,,5/13/2019,10357
,Penny Marshall,,2018,Director and Laverne & Shirley actress,10/15/1943,Fun,,,10358
,Ingvar Kamprad,,2018, IKEA founder,3/30/1926,Fun,,,10359
,Cormac MacArthty,,2023,Author of The Road and No Country for Old Men,7/20/1933,Fun,,6/13/2023,10360
,Peter Frampton,ALIVE,,Oooo baby he loves your way,4/22/1950,,,,10361
,David Copperfield,ALIVE,,Magician,9/16/1956,,,,10362
,Dudley Moore,,2002,British comedy actor known for 'Arthur',4/19/1935,,,,10363
,Roger Staubach,ALIVE,,Legendary Dallas Cowboys Quarterback,2/5/1942,,,,10364
,Davy Jones,,2012,The Monkees,12/30/1945,,,,10365
,Whitney Houston,,2012,Pop singer,8/9/1963,,,,10366
,Natalie Cole,,2015,Jazz singer and daughter of Nat King Cole,2/6/1950,Fun,,,10367
,Luke Perry,,2019,Dylan in Beverly Hills 90210,10/11/1966,DONE,,,10368
,Florence Henderson,,2016,Carol Brady,2/14/1934,DONE,,11/24/2016,10369
,Christopher Lloyd,ALIVE,,Doc Brown in Back to the Future,10/22/1938,,,,10370
,Cassandra Peterson,ALIVE,,Better known as Elvira aka mistress of the dark,9/7/1951,,,,10371
,Herman Cain,,2020,CEO of Godfather's Pizza and Tea Party Activist,12/13/1945,Fun,,,10372
,Charles Grodin,,2021,Midnight Run actor,4/21/1935,Fun,,,10373
,Elliot Gould,ALIVE,,Movie actor who also played Monica's dad on 'Friends',8/29/1938,,,,10374
,Tom Berenger,ALIVE,,Catcher in 'Major League',5/31/1949,,,,10375
,Don King,ALIVE,,Boxing Promoter,8/20/1931,,,,10376
,Olympia Dukakis,,2021,Actress in 'Moonstruck',6/20/1931,Fun,,,10377
,Ivan Reitman,,2022,Ghostbusters' Director,10/27/1946,Fun,,,10378
,Thich Nhat Hanh,,2022,Buddhist Monk and Teacher,10/11/1926,,,,10379
,The Dalai Lama,ALIVE,,Leader of Tibetan Buddhism,7/6/1935,,,,10380
,PJ O'Rourke,,2022,Satirist,11/14/1947,Fun,,2/15/2022,10381
,Kurt Vonnegut,,2007,Author of 'Slaughterhouse Five',11/11/1922,,,,10382
,Alan Greenspan,ALIVE,,Former Chair of the US Federal Reserve,3/6/1926,,,,10383
,Jonathan Winters,,2013,Comedian and actor and TV host,11/11/1925,Fun,,,10384
,Jim J Bullock,ALIVE,,Hollywood Squares regular,2/9/1955,,,,10385
,Shadoe Stevens,ALIVE,,Radio Host and Hollywood Squares regular,11/3/1947,,,,10386
,Jason Priestley,ALIVE,,Brandon on Beverly Hills 90210,8/28/1969,,,,10387
,Manute Bol,,2010,7 ft 7 in tall NBA player originally from Sudan,10/16/1962,,,,10388
,Jesse Ventura,ALIVE,,Wrestler and Governor of Minnesota,7/15/1951,,,,10389
,John Fogerty,ALIVE,,Creedence Clearwater Revival singer,5/28/1945,,,,10390
,Robert Ludlum,,2001,Author of The Bourne books,5/25/1927,,,,10391
,Bill Walton,ALIVE,,Basketball Player,11/5/1952,,,,10392
,Biz Markie,,2021,Rapper who sang 'Just a Friend',8/8/1964,DONE,,7/16/2021,10393
,Heavy D,,2011,Rapper,5/24/1967,,,,10394
,Bronson Pinchot,ALIVE,,Balki on Perfect Strangers,5/20/1959,,,,10395
,Jackie Chan,ALIVE,,Martial arts actor,4/7/1954,,,,10396
,Charlie Murphy,,2017,Eddie's brother and played Rick James on Chapelle Show,7/12/1959,,,,10397
,Brittany Murphy,,2009,Actress in 'Clueless' and Voice of Luann in 'King of the Hill',11/10/1977,,,,10398
yes,Chadwick Boseman DUPLICATE,,2020,Black Panther star,11/29/1976,Fun,,,10399
,Joe Pesci,ALIVE,,Star of 'Goodfellas' and 'My Cousin Vinny',2/9/1943,,,,10400
,Peter Scolari,,2021,Bosom Buddies with Tom Hanks,9/12/1955,Fun,,10/22/2021,10401
,George Wallace,ALIVE,,Comedian not Alabama Governor,7/21/1952,,,,10402
,Bernie Mac,,2008,Comedian and actor in 'Friday' and 'Oceans Eleven',10/5/1957,,,,10403
,Don Rickles,,2017,Comedian known for insults,5/8/1926,Fun,,,10404
,Donald Sutherland,ALIVE,,Actor and Father of Kiefer,7/17/1935,,,,10405
,Ralph Nader,ALIVE,,2000 US presidential candidate 3rd place,2/27/1934,,,,10406
,Phil Lesh,ALIVE,,Founding member of Grateful Dead,3/15/1940,,,,10407
,Bob Weir,ALIVE,,Founding member of Grateful Dead,10/16/1947,,,,10408
yes,Jerry Garcia,,1995,Lead singer of the Grateful Dead,8/1/1942,,,,10409
,Valerie Harper,,2019,Rhoda on Mary Tyler Moore Show and spinoff,8/22/1939,Fun,,8/30/2019,10410
,Joan Jett,ALIVE,,Rock and Roll singer,9/22/1958,,,,10411
,Stevie Nicks,ALIVE,,Fleetwood Mac singer,5/26/1948,,,,10412
,Don Henley,ALIVE,,Eagles frontman,7/22/1947,,,,10413
yes,Al Lewis,,2006,Grandpa Munster,4/30/1923,,,,10414
,Shirley Temple,,2014,Child Movie Star,4/23/1928,DONE,,2/10/2014,10415
,Bobby McFerrin,ALIVE,,Jazz Musician known for 'Don't Worry Be Happy',3/11/1950,,,,10416
,Young MC,ALIVE,,Rapper known for 'Bust a Move',3/3/1966,,,,10417
,Tone Loc,ALIVE,,Rapper known for 'Wild Thing' and 'Funky Cold Medina',5/10/1967,,,,10418
,Slick Rick,ALIVE,,Rapper who is blind in one eye and unexpectedly actually British,1/14/1965,,,,10419
,Too $hort,ALIVE,,Rapper who lived his native Oakland,4/28/1966,,,,10420
,Tommy Hilfiger,ALIVE,,Fashion Designer,3/24/1951,,,,10421
,Ralph Lauren,ALIVE,,Fashion Designer,10/14/1939,,,,10422
,Ed McMahon,,2009,Announcer on The Tonight Show with Johnny Carson,3/6/1923,,,,10423
,Cybil Shepherd,ALIVE,,Actress in 'Taxi Driver' and 'Last Picture Show' and 'Moonlighting',2/1/1950,,,,10424
,Terence Trent Darby,ALIVE,,Sang 1980s hit 'Wishing Well',3/5/1962,,,,10425
,Kelly McGillis,ALIVE,,Top Gun star,7/9/1957,,,,10426
,Kelly Preston,,2020,Jerry Maguire's ex-fiance and John Travoltas real wife,10/13/1962,Fun,,,10427
,Gérard Depardieu,ALIVE,,French actor known for films 'Cyrano de Bergerac' and 'Green Card',12/27/1948,,,,10428
,Nina Simone,,2003,Jazz singer,2/21/1933,,,,10429
,Ray Charles,,2004,Pianist and singer and blind and Pepsi ad man,9/23/1930,,,,10430
,Rob Reiner,ALIVE,,Hollywood Director of 'Stand by Me' and 'A Few Good Men',3/6/1947,,,,10431
,Chris Cornell,,2017,Soundgarden Singer,7/20/1964,Fun,,,10432
,Scott Weiland,,2017,Stone Temple Pilots Singer,10/27/1967,Fun,,,10433
,Debbie Gibson,ALIVE,,1980s pop singer,8/31/1970,,,,10434
,Rod Roddy,,2003,The Price is Right Announcer,9/28/1937,,,,10435
,Phil Donahue,ALIVE,,90s Daytime Talk Show Host,12/21/1935,,,,10436
,Sally Jessy Raphael,ALIVE,,90s Daytime Talk Show Host,2/25/1935,,,,10437
,Judge Judy,ALIVE,,90s TV show freedom fighter,10/21/1942,,,,10438
,Montel Williams,ALIVE,,90s Daytime Talk Show Host,7/3/1956,,,,10439
,Ricki Lake,ALIVE,,90s Daytime Talk Show Host,9/21/1968,,,,10440
yes,Jenny Jones,ALIVE,,90s Daytime Talk Show Host,7/7/1946,,,,10441
,Jerry Springer,,2023,Tabloid Talk Show Host and former Cincinnati Mayor,2/13/1944,Fun,,4/27/2023,10442
,Geraldo Rivera,ALIVE,,Fox News anchor and former Daytime Talk Show Host,7/4/1943,,,,10443
,Gerardo,ALIVE,,Rico Suave rapper,4/16/1965,,,,10444
,Judge Wapner,,2017,The Peoples Court TV Show Judge,11/15/1919,DONE,,2/26/2017,10445
,John Ratzenberger,ALIVE,,Cliff Clavin on Cheers,4/6/1947,,,,10446
,John Larroquette,ALIVE,,Dan Fielding on Night Court,11/25/1947,,,,10447
,Prince Philip,,2021,Queen Elizabeths Husband,6/10/1921,Fun,,4/9/2021,10448
,Jane Fonda,ALIVE,,Actress and activist,12/21/1937,,,,10449
,Ted Turner,ALIVE,,Media mogual including Turner Broadcasting and CNN,11/19/1938,,,,10450
,Rupert Murdoch,ALIVE,,Fox News and media tycoon,3/11/1931,,,,10451
,Woody Allen,ALIVE,,Movie writer and director and producer,11/30/1935,,,,10452
,Gilbert Gottfried,,2022,Comedian and voice actor,2/28/1955,Fun,,4/12/2022,10453
,Judith Light,ALIVE,,Angela on Whos the Boss,2/9/1949,,,,10454
,Neil Armstrong,,2012,First human to walk on the moon as part of Apollo 11 mission,8/5/1930,DONE,,8/25/2012,10455
,Maurice Sendak,,2012,Wrote 'Where the Wild Things Are',6/10/1928,DONE,,5/8/2012,10456
,Fats Domino,,2017,Blues singer,2/26/1928,Fun,,,10457
,Adam West,,2017,Batman in the TV series,9/19/1928,Fun,,,10458
,JD Salinger,,2010,Author of 'Catcher in the Rye',1/1/1919,,,,10459
,Ray Bradbury,,2012,Author of 'Fahrenheit 451',8/22/1920,,,,10460
,Mike Wallace,,2012,Lead Reporter on 60 Minutes,5/9/1918,,,,10461
,Mitzi Shore,,2018,Founder of The Comedy Store in LA and Pauly's mother,7/25/1930,Fun,,,10462
,Kenneth Cole,ALIVE,,Shoe and fashion designer,3/23/1954,,,,10463
,Little Richard,,2020,Singer known for 'Tutti Frutti' and 'Good Golly Miss molly',3/23/1954,Fun,,,10464
,Oliver Stone,ALIVE,,Hollywood Director known for 'Platoon' and 'JFK',9/15/1946,,,,10465
,Brian De Palma,ALIVE,,Director known for 'Carrie' and 'Scarface' and 'Carlitos Way',9/11/1940,,,,10466
,Kenny G,ALIVE,,Saxophonist and smooth jazz archetype,5/5/1956,,,,10467
,Buzz Aldrin,ALIVE,,Astronaut on the Apollo 11 crew which landed on Moon,1/20/1930,,,,10468
,Walter Cronkite,,2009,CBS News Anchor,11/4/1916,,,,10469
,Peter Jennings,,2005,ABC News Anchor,7/29/1938,,,,10470
,Sam Donaldson,ALIVE,,ABC News Anchor,3/11/1934,,,,10471
,Madeleine Albright,,2022,Secretary of State during Bill Clinton presidency,5/15/1937,,,,10472
,Vince Neil,ALIVE,,Lead Singer for Motley Crue,2/8/1961,,,,10473
,Phyllis Diller,,2012,Stand-Up Comedian,7/17/1917,,,,10474
yes,Graham Chapman,,1989,Monty Python,1/8/1941,,,,10475
,John Cleese,ALIVE,,Actor in Monty Python and Fawlty Towers and 'A Fish Called Wanda',10/27/1939,,,,10476
yes,Terry Gilliam,ALIVE,,Monty Python,11/22/1940,,,,10477
yes,Eric Idle,ALIVE,,Monty Python,3/29/1943,,,,10478
,Michael Palin,ALIVE,,Monty Python,5/5/1943,,,,10479
yes,Terry Jones,,2020,Monty Python,2/1/1945,,,1/21/2020,10480
,Don Knotts,,2006,Barney from Andy Griffth and Mr Furley from Threes Company,7/21/1924,,,,10481
,John Ritter,,2003,Jack from Three's Company,9/17/1948,,,9/11/2003,10482
,Johnny Cash,,2003,Country singer and badass,2/26/1932,,,9/12/2003,10483
,Dabney Coleman,ALIVE,,Character actor known for roles in '9 to 5' and 'Tootsie',1/3/1932,,,,10484
,Estelle Harris,,2022,George Costanza's Mom on Seinfeld,9/17/1948,,,,10485
,Dr Anthony Fauci,ALIVE,,Covid-19 Authority,12/24/1940,,,,10486
yes,Tracey Ullman,ALIVE,,Tracey Ullman Show was first to debut The Simpsons in 1987,12/30/1949,,,,10487
,Cheryl Tiegs,ALIVE,,Supermodel and first Sports Illustrated Swimsuit Issue cover,9/25/1947,,,,10488
,Christie Brinkley,ALIVE,,Supermodel and ex-wife of Billy Joel,2/2/1954,,,,10489
,Jerry Stiller,,2020,Father of Ben and played George Costanzas father on Seinfeld,6/8/1927,Fun,,5/11/2020,10490
,Bonnie Raitt,ALIVE,,Country and Blues singer,11/8/1949,,,,10491
,Emmylou Harris,ALIVE,,Country Folk Singer Songwriter,4/2/1947,,,,10492
,Jimmy Carter,ALIVE,,39th President of the United States,10/1/1924,,,,10493
,Rosalynn Carter,,2023,Former First Lady of the United States,8/18/1927,Fun,,11/19/2023,10494
,Gerald Ford,,2006,38th President of the United States,7/14/1913,,,,10495
,Chevy Chase,ALIVE,,Star of 'Vacation' movies and 'Funny Farm',10/8/1943,,,,10496
,Carl Lewis,ALIVE,,Olympic Sprinter,7/1/1961,,,,10497
,Luciano Pavarotti,,2007,Opera Singer,10/12/1935,,,,10498
yes,Alex Calderwood,,2014,Founder of Ace Hotel,1/28/1966,,,,10499
,Ted Kennedy,,2009,Senator and brother of JFK,2/22/1932,,,,10500
,Patrick Swayze,,2009,Star of 'Dirty Dancing' and 'Point Break',8/18/1952,,,,10501
,Orrin Hatch,,2022,Longest-serving Republican in Senate History and Utahan,3/22/1934,,,4/23/2022,10502
,Larry King,,2021,Host of Talk Show on CNN,11/19/1933,Fun,,1/23/2021,10503
,LaToya Jackson,ALIVE,,Singer and older sister to Michael and Janet,5/29/1956,,,,10504
,Tito Jackson,ALIVE,,Eldest brother of Michael and member of the Jackson 5,10/15/1953,,,,10505
,Rudy Guiliani,ALIVE,,Mayor of New York City during 9/11,5/28/1944,,,,10506
,Madonna,ALIVE,,If you dont know who she is you may not be good at this game,8/16/1958,,,,10507
,Van Morrison,ALIVE,,Irish rock star who sang 'Brown Eyed Girl',8/31/1945,,,,10508
,Dick Cavett,ALIVE,,TV host and personality,9/19/1936,,,,10509
,Barry Gibb,ALIVE,,Bee Gees singer,9/1/1946,,,,10510
,DMX,,2021,Rapper known for hits including 'Party Up (Up in Here)',12/18/1970,Fun,,4/9/2021,10511
,Roy Horn,,2020,Of Siegried & Roy,10/3/1944,Fun,,5/8/2020,10512
,Siegfried Rauch,,2018,Of Siegried & Roy,4/2/1932,,,3/11/2018,10513
,Jared Fogle,ALIVE,, Spokesperson for Subway sandwiches,8/23/1977,,,,10514
,Dennis Haskins,ALIVE,,Played Mr Belding on 'Saved by the Bell',11/18/1950,,,,10515
yes,Leonard Maltin,ALIVE,,Film critic,12/18/1950,,,,10516
,Dr Ruth Westheimer,ALIVE,,Sex Therapist,6/4/1928,,,,10517
,Eric Clapton,ALIVE,,British Guitarist known for songs such as 'Tears in Heaven',3/30/1945,,,,10518
,Sting,ALIVE,,Musician and frontman for band The Police,10/2/1951,,,,10519
,Jim Varney,,2000,Actor who played Ernest in movies like 'Ernest Goes to Camp',6/15/1949,,,2/10/2000,10520
,Bruno Kirby,,2006,Actor in 'This is Spinal Tap' and 'City Slickers',4/28/1949,,,8/14/2006,10521
,Paul Newman,,2008,Actor and salad dressing entrepeneur,1/26/1925,,,9/26/2008,10522
,Bill Watterson,ALIVE,,Calvin and Hobbes author,7/5/1958,,,,10523
,Gary Larson,ALIVE,,Far Side Cartoonist,8/14/1950,,,,10524
,Jim Davis,ALIVE,,Garfield' cartoonist and Monday-hater,7/28/1945,,,,10525
,Mark Hammil,ALIVE,,Played Luke Skywalker in the Star Wars movies,9/25/1951,,,,10526
,Goldie Hawn,ALIVE,,Actress in 'Private Benjamin' and also Kate Hudson's mother,9/21/1945,,,,10527
,Dan Aykroyd,ALIVE,,SNL alum and Blues Brother and Ghostbuster,7/1/1952,,,,10528
,David Duke,ALIVE,,Former KKK member who ran for president in 1988 and 1992,7/1/1950,,,,10529
,Reggie White,,2004,NFL defensive player for the Eagles and Packers,12/19/1961,,,12/26/2004,10530
,Fred 'Mister' Rogers,,2003,Host of children's television show bearing his name,3/20/1928,,,2/27/2003,10531
,John Hughes,,2009,Director of 'The Breakfast Club' and 'Ferris Bueller's Day Off',2/18/1950,,,8/6/2009,10532
,Edie Falco,ALIVE,,Carmela Soprano and Nurse Jackie,7/5/1963,,,,10533
,Ed Koch,,2013,Mayor of New York City from 1978 to 1989,12/12/24,Fun,,2/1/2013,10534
,Rod Carew,ALIVE,,Baseball Hall of Famer featured in 'The Hannukah Song',10/1/1945,,,,10535
,Gloria Vanderbilt,,2019,Fashion designer and mother of Anderson Cooper,2/20/1924,Fun,,6/17/2019,10536
,Rosanne Cash,ALIVE,,Singer-songwriter and daughter of Johnny,5/24/1955,,,,10537
,Olivia Newton John,,2022,Sandy in the original film adaptataion of 'Grease',9/26/1948,DONE,,8/8/2022,10538
,Kenny Loggins,ALIVE,,Sang the original 'Footloose' song,1/7/1948,,,,10539
yes,Robert J Vlasic,,2022,Pickle magnate,3/9/1926,Fun,,5/8/2022,10540
yes,John Lithgow DUPICATE,ALIVE,,Starred in 'Footloose' and '3rd Rock From the Sun',10/19/1945,,,,10541
,Ray Liotta,,2022,Star of 'Goodfellas' and 'Field of Dreams',12/18/1954,Fun,,5/26/2022,10542
,Hank Williams Jr,ALIVE,,Country singer and son and father of a country singer,5/26/1949,,,,10543
,Kool Moe Dee,ALIVE,,Rapper who sang 'Wild Wild West',8/8/1962,,,,10544
,MC Hammer,ALIVE,,Rapper who sang 'Can't Touch This',3/30/1962,,,,10545
,Charlton Heston,,2008,Moses and NRA enthusiast,10/4/1923,,,4/5/2008,10546
,Paul Hogan,ALIVE,,Crocodile Dundee,10/8/1939,,,,10547
,Brian Wilson,ALIVE,,Founding member of The Beach Boys,6/20/1942,,,,10548
,Steve Miller,ALIVE,,Some people called him a space cowboy or ganster of love,10/5/1943,,,,10549
,Tom Selleck,ALIVE,,The original Magnum PI and Monica's boyfriend in 'Friends',1/29/1945,,,,10550
,John Waters,ALIVE,,Directed the movies 'Hairspray' and 'Cry-Baby',4/22/1946,,,,10551
,Ben Stein,ALIVE,,Ferris Bueller's teacher who repeated his last name,11/25/1944,,,,10552
,Rick Springfeld,ALIVE,,A good friend of Jessie's and coveter of his girl,8/23/1949,,,,10553
,Tom Waits,ALIVE,,Raspy singer songwriter,12/7/1949,,,,10554
,Doug E Fresh,ALIVE,,80s rapper and beatboxer,9/17/1966,,,,10555
,Peter Bogdanovich,,2022,Last Picture Show' director,7/30/1939,Fun,,1/6/2022,10556
,Giorgio Armani,ALIVE,,Italian Fashion Designer,7/11/1934,,,,10557
,Mike Ditka,ALIVE,,Football coach for Chicago Bears and New Orleans Saints,10/18/1939,,,,10558
,Jon Krakauer,ALIVE,,Author of 'Into Thin Air' and 'Into the Wild',4/12/1954,,,,10559
,Diane Rehm,ALIVE,,Host of The Diane Rehm Show on NPR,9/21/1936,,,,10560
,Bill Moyers,ALIVE,,PBS Interviewer and Host,6/5/1934,,,,10561
,Julie Andrews,ALIVE,,Played Mary Poppins in the original film,10/1/1935,,,,10562
,Wes Craven,,2015,Creator of 'Nightmare on Elm Street' and director of 'Scream',8/2/1939,DONE,,8/30/2015,10563
,Tim Burton,ALIVE,,Director of 'Beetlejuice' and 'Edward Scissorhands',8/25/1958,,,,10564
,Norman Schwarzkopf,,2012,US General and Commander in the original Gulf War,8/22/1934,,,12/27/2012,10565
,Bob Dylan,ALIVE,,Folk singer,5/24/1941,,,,10566
,Victoria Jackson,ALIVE,,SNL Cast member from 1986 to 1992,8/2/1959,,,,10567
,Louis Farrakhan,ALIVE,,Headed the Nation of Islam and the 1995 'Million Man March',5/11/1933,,,,10568
yes,Robin Williams,,2014,Dead Poets Society and Mrs Doubtfire and Good Morning Vietnam,7/21/1951,Tough,,8/11/2014,10569
yes,Kate Spade,,2018,Women's fashion designer,12/24/1962,Tough,,6/5/2018,10570
,William Hurt,,2022,Best Actor Nominee 3x including for 'Broadcast News',3/20/1950,Fun,,3/13/2022,10571
,Connie Chung,ALIVE,,TV news anchor and reporter,8/20/1946,,,,10572
,Gregory Hines,,2003,Dancer and Running Scared actor,2/14/1946,,,,10573
,Mikhail Baryshnikov,ALIVE,,Ballet dancer,1/27/1948,,,,10574
,Richard Gere,ALIVE,,Pretty Woman actor,8/31/1949,,,,10575
,Don Johnson,ALIVE,,Miami Vice actor,12/15/1949,,,,10576
,Alan Arkin,,2023,Little Miss Sunshine heroin grandpa,3/26/1934,Fun,,6/29/2023,10577
,Al Green,ALIVE,,Singer of 'Take Me to the River' before Big Mouth Billy Bass,4/13/1946,,,,10578
yes,Peter Faulk,,2011,Grandpa in The Princess Bride,6/23/2011,,,,10579
,Roberto Benigni,ALIVE,,Star of 'Life is Beautiful' film,10/11/1952,,,,10580
,James Caan,,2022,Sonny Corleone in 'The Godfather' & Mr Henry in 'Bottle Rocket',3/26/1940,Fun,,7/6/2022,10581
,Adam Yaucht,,2012,Beastie Boy MCA,8/5/1964,,,5/4/2012,10582
,John Irving,ALIVE,,Wrote 'The World According to Garp',3/2/1942,,,,10583
,Tony Blair,ALIVE,,Prime Minister of the UK until 2007,5/6/1953,,,,10584
,Phylicia Rashad,ALIVE,,Played Clair Huxtable on 'The Cosby Show',6/18/1948,,,,10585
,Boy George,ALIVE,,Lead singer of Culture Club,6/14/1961,,,,10586
,Cyndi Lauper,ALIVE,,Singer of 'Girls Just Wanna Have Fun',6/22/1953,,,,10587
,Wolf Blitzer,ALIVE,,CNN Anchor,3/22/1948,,,,10588
,Sally Ride,,2012,Astronaut and first American woman to enter space,5/26/1951,,,7/23/2012,10589
,Iman,ALIVE,,Supermodel from Somalia and wife of David Bowie,7/25/1955,,,,10590
,Lynda Carter,ALIVE,,Played Wonder Woman in the original TV series,7/24/1951,,,,10591
,Andrew Dice Clay,ALIVE,,Brash comedian,9/29/1957,,,,10592
,Garrett Morris,ALIVE,,Member of the original SNL cast and first black castmember,2/1/1937,,,,10593
,Louis Gossett Jr,,2024,Actor in 'Iron Eagle' and 'Officer and a Gentleman',5/27/1936,Fun,,3/29/2024,10594
,Fernando Valenzuela,ALIVE,,Pitcher for the LA Dodgers,11/1/1960,,,,10595
,Ivana Trump,,2022,First wife of Donald and mother of Donald Jr and Ivanka,2/20/1949,Fun,,7/14/2022,10596
,Marla Maples,ALIVE,,Second wife of Donald Trump and mother to Tiffany,10/27/1963,,,,10597
,Thomas Pynchon,ALIVE,,Novelist known for 'The Crying of Lot 49' and 'Gravitys Rainbow',5/8/1937,,,,10598
,Junior Seau,,2012,Football linebacker and 12-time Pro Bowl selection,1/19/1969,,,,10599
,Carlos Santana,ALIVE,,Rock and Roll guitarist,7/20/1947,,,,10600
,Bobby Fischer,,2008,Chess Master,3/9/1948,,,,10601
,Roger Waters,ALIVE,,Lead Singer of Pink Floyd,9/6/1943,,,,10602
,Isaac Hayes,,2008,Shaft singer and voice of Chef on South Park,8/20/1942,,,,10603
,Jackie Collins,,2015,Author of romance novels,10/4/1937,Fun,,,10604
,John McEnroe,ALIVE,,Tennis player,4/16/1959,,,,10605
,Billy Idol,ALIVE,,Pop star known for 'Cradle of Love',11/30/1955,,,,10606
,Richard Dreyfuss,ALIVE,,Jaws and Mr Hollands Opus actor,10/29/1947,,,,10607
,Jimmy Page,ALIVE,,Led Zeppelin guitarist,1/9/1944,,,,10608
,Michael Stipe,ALIVE,,REM lead singer,1/4/1960,,,,10609
,Christopher Walken,ALIVE,,Actor in 'Deer Hunter' and 'True Romance',3/31/1943,,,,10610
,Kirstie Alley,,2022,Actress on 'Cheers' and 'Look Whos Talking',1/12/1951,Fun,,12/5/2022,10611
yes,Roy Scheider,,2008,Jaws actor,11/10/1932,,,,10612
yes,Reginald VelJohnson,ALIVE,,Seargent Powell in Die Hard,8/16/1952,,,,10613
yes,Bonnie Bedelia,ALIVE,,Actress who played Bruce's wife in Die Hard,3/25/1948,,,,10614
,Erik Estrada,ALIVE,,Actor who played Ponch in 'CHiPs',3/16/1949,,,,10615
,Newt Gingrich,ALIVE,,Republican Speaker of the House of Representatives,6/17/1943,,,,10616
,James Dyson,ALIVE,,Inventor of coveted vacuums and hand dryers,5/2/1947,,,,10617
,Pervez Musharraf,ALIVE,,President of Pakistan from 2001 to 2008,8/11/1943,,,,10618
,Muammar Qaddafi,,2011,Leader of Libya,1/1/1942,,,,10619
,Dick Butkus,,2023,Chicago Bears linebacker and later actor,12/9/1942,Fun,,10/5/2023,10620
,Tony Dow,,2022,Wally Cleaver,4/13/1945,Fun,,7/27/2022,10621
,David Lee Roth,ALIVE,,Lead vocalist for Van Halen most of the time,10/10/1954,,,,10622
,Steven Tyler,ALIVE,,Lead singer for Aerosmith,3/26/1948,,,,10623
,Jimmy Choo,ALIVE,,Womens shoe designer,11/15/1948,,,,10624
,Vera Wang,ALIVE,,Fashion designer known for evening wear and wedding gowns,6/27/1949,,,,10625
,Anthony Hopkins,ALIVE,,Hannibal Lecter in 'The Silence of the Lambs',12/31/1937,,,,10626
